categoria,perfil,quantidade,comprimento_total_m,massa_kg
CHUMBADOR_D_05_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_01_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_01_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_01_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_01_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_02_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_02_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_02_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_02_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_03_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_03_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_03_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_03_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_04_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_04_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_04_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_04_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_05_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_05_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_05_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_E_05_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_GANCHO_D_01_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_01_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_02_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_03_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_04_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_D_05_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_03,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_01_04,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_01,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_02,Chumbadores,barra-20,60.0,0.15
CHUMBADOR_GANCHO_E_02_03,Chumbadores,barra-20,60.0,0.15
